City,Customer_Age,Customer_Name,Customer_Segment,Discount,Order_Date,Order_ID,Order_Priority,Order_Quantity,Product_Base_Margin,Product_Category,Product_Name,Product_Sub_Category,Profit,Region,Sales,State,Unit_Price,Zip_Code
East Longmeadow,51,Katrina Willman,Consumer,0.08,12/1/2013,25092,High,6,0.37,Office Supplies,Trimflex™ Flexible Post Binders,Binders and Binder Accessories,28.1435,East,141.27,MA,21.38,1028
West Springfield,47,Chuck Sachs,Consumer,0.01,4/29/2013,21319,Medium,5,0.38,Technology,Canon PC940 Copier,Copiers and Fax,-1042.714,East,2361.1,MA,449.99,1089
Fitchburg,59,Chuck Sachs,Consumer,0.04,12/8/2014,20098,Medium,11,0.49,Technology,"AT&T Black Trimline Phone, Model 210",Office Machines,-61.1001,East,183.32,MA,15.99,1420
Holden,41,Christy Brittain,Consumer,0.07,7/29/2012,32420,Medium,35,0.79,Technology,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-168.72,East,175.08,MA,5.02,1520
Shrewsbury,68,Hunter Lopez,Consumer,0.06,9/2/2015,25666,Critical,36,0.73,Office Supplies,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Storage & Organization,369.46,East,5072.34,MA,140.85,1545
Worcester,55,Joni Wasserman,Consumer,0,5/8/2014,55616,High,29,0.75,Technology,"Imation 3.5 DS/HD IBM Formatted Diskettes, 10/Pack",Computer Peripherals,-102.25,East,184.74,MA,5.98,1607
Marlborough,46,Maureen Gastineau,Consumer,0.04,2/13/2013,59619,Not Specified,12,0.36,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,-47.55,East,76.04,MA,5.98,1752
Marlborough,46,Alex Grayson,Consumer,0.02,2/23/2013,42528,Medium,31,0.43,Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",Computer Peripherals,81.87,East,313.05,MA,9.78,1752
Burlington,43,Chuck Sachs,Consumer,0.09,10/26/2012,38599,High,27,0.82,Office Supplies,Tennsco Regal Shelving Units,Storage & Organization,-741.81,East,2651.23,MA,101.41,1803
Lowell,46,Alex Grayson,Consumer,0.02,2/23/2013,42528,Medium,13,0.59,Office Supplies,Portfile® Personal File Boxes,Storage & Organization,-43.52,East,250.75,MA,17.7,1852
Reading,50,Giulietta Dortch,Consumer,0.1,10/15/2013,30023,Low,28,0.36,Technology,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Office Machines,3256.81,East,10253.75,MA,400.97,1867
Tewksbury,42,Elizabeth Moffitt,Consumer,0.06,8/14/2012,15971,High,15,0.57,Technology,2180,Telephones and Communication,32.751,East,2172.515,MA,175.99,1876
Wilmington,42,Darrin Sayre,Consumer,0,9/12/2012,49891,Not Specified,40,0.39,Office Supplies,Avery Hanging File Binders,Binders and Binder Accessories,80.733,East,259.83,MA,5.98,1887
Amesbury,48,Nicole Brennan,Consumer,0.08,8/4/2013,56166,Critical,45,0.52,Office Supplies,Holmes Odor Grabber,Appliances,-54.34,East,615.68,MA,14.42,1913
Ipswich,46,Natalie Webber,Consumer,0.04,2/25/2013,8807,Low,19,0.39,Office Supplies,Xerox 1964,Paper,-6.04,East,428.14,MA,22.84,1938
Franklin,46,Alex Grayson,Consumer,0.02,2/23/2013,42528,Medium,37,0.38,Office Supplies,Xerox 1880,Paper,47.65,East,1356.45,MA,35.44,2038
Mansfield,68,Maureen Gastineau,Consumer,0.06,9/14/2015,42306,High,19,0.57,Office Supplies,Belkin 8 Outlet Surge Protector,Appliances,146.79,East,773.83,MA,40.98,2048
Sharon,46,Alex Grayson,Consumer,0.1,3/9/2013,48263,Medium,28,0.4,Office Supplies,Xerox 1920,Paper,-124.72,East,164.22,MA,5.98,2067
Stoughton,73,Hunter Lopez,Consumer,0.02,11/10/2015,9602,Critical,16,0.55,Technology,Fuji Slim Jewel Case CD-R,Computer Peripherals,-24.87,East,36.23,MA,2.12,2072
Boston,52,Chris Cortes,Consumer,0.08,12/19/2013,39842,Medium,38,0.76,Furniture,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Office Furnishings,114.45,East,1554.21,MA,41.32,2116
South Boston,61,David Flashing,Consumer,0.04,2/5/2015,16548,Not Specified,40,0.68,Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,-2595.6502,East,3028.86,MA,71.37,2127
South Boston,67,Muhammed Lee,Consumer,0.05,8/12/2015,13284,High,22,0.35,Office Supplies,GBC DocuBind 200 Manual Binding Machine,Binders and Binder Accessories,3858.2775,East,9062.44,MA,420.98,2127
Winthrop,41,Christy Brittain,Consumer,0.07,6/6/2012,55392,Critical,39,0.54,Office Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Pens & Art Supplies,3.21,East,104.97,MA,2.84,2152
Milton,51,Katrina Willman,Consumer,0.09,12/1/2013,25092,High,9,0.52,Office Supplies,Assorted Color Push Pins,Rubber Bands,-2.82,East,16.02,MA,1.81,2186
Weymouth,57,Chuck Sachs,Consumer,0.07,8/21/2014,46531,Low,39,0.63,Furniture,Hon 4060 Series Tables,Tables,-270.573732,East,4211,MA,111.96,2190
Brookline,57,Jay Fine,Consumer,0.09,9/15/2014,23078,Medium,8,0.36,Office Supplies,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,-17.68,East,342.27,MA,40.99,2445
Taunton,67,Muhammed Lee,Consumer,0.1,8/12/2015,13284,High,49,0.35,Office Supplies,Vinyl Sectional Post Binders,Binders and Binder Accessories,674.9935,East,1662.57,MA,37.7,2718
Newport,41,Christy Brittain,Consumer,0.02,6/6/2012,55392,Critical,20,0.4,Office Supplies,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Pens & Art Supplies,40.2,East,129.3,Rhode Island,6.47,2840
Woonsocket,46,Alex Grayson,Consumer,0.07,3/9/2013,48263,Medium,25,0.4,Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Paper,37.5,East,135.91,Rhode Island,5.68,2895
Londonderry,46,Eric Barreto,Consumer,0.01,4/6/2013,29700,Medium,9,0.37,Office Supplies,Avery 481,Labels,5.02,East,30.35,New Hampshire,3.08,3053
Londonderry,57,Chuck Sachs,Consumer,0.06,8/21/2014,46531,Low,23,0.38,Office Supplies,Durable Pressboard Binders,Binders and Binder Accessories,7.9815,East,84.47,New Hampshire,3.8,3053
Nashua,42,Eric Barreto,Consumer,0.1,8/25/2012,29350,High,10,0.81,Office Supplies,Eldon® Gobal File Keepers,Storage & Organization,-47.88,East,150.33,New Hampshire,15.14,3060
Salem,41,Chuck Sachs,Consumer,0.06,6/15/2012,28161,Not Specified,15,0.61,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,664.88,East,5028.31,New Hampshire,350.98,3079
Concord,51,Carlos Meador,Consumer,0.09,11/14/2013,4580,Not Specified,28,0.78,Furniture,Global Adaptabilities™ Conference Tables,Tables,-2301.5278,East,7384.54,New Hampshire,280.98,3301
Dover,76,Joni Wasserman,Consumer,0.02,12/3/2015,55239,Critical,6,0.79,Furniture,Hon 2111 Invitation™ Series Corner Table,Tables,-505.984479,East,1008.872,New Hampshire,209.37,3820
Rochester,49,Elizabeth Moffitt,Consumer,0.02,8/11/2013,31650,Not Specified,19,0.76,Technology,Micro Innovations Media Access Pro Keyboard,Computer Peripherals,-0.31,East,1504.97,New Hampshire,77.51,3839
Biddeford,41,Alex Grayson,Consumer,0.1,6/22/2012,3397,Medium,43,0.68,Technology,Belkin 105-Key Black Keyboard,Computer Peripherals,-20.25,East,815.89,Maine,19.98,4005
Biddeford,47,Eric Barreto,Consumer,0.02,6/15/2013,22115,Low,5,0.56,Technology,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,-283.9419,East,751.94,Maine,145.45,4005
Biddeford,50,Chuck Sachs,Consumer,0.03,10/16/2013,41826,Medium,4,0.48,Furniture,DAX Solid Wood Frames,Office Furnishings,40.63,East,63.93,Maine,9.77,4005
Biddeford,54,Eric Barreto,Consumer,0.06,3/20/2014,9062,High,32,0.39,Office Supplies,Staples Vinyl Coated Paper Clips,Rubber Bands,30.61,East,119.2,Maine,3.93,4005
Biddeford,54,Alex Grayson,Consumer,0.09,4/24/2014,16710,High,47,0.56,Technology,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1300.8,East,5549.79,Maine,145.45,4005
Brunswick,47,Chuck Sachs,Consumer,0.03,4/29/2013,21319,Medium,11,0.57,Office Supplies,Super Decoflex Portable Personal File,Storage & Organization,-40.94,East,167.53,Maine,14.98,4011
Gorham,58,Brian Stugart,Consumer,0.01,11/11/2014,51783,Medium,10,0.74,Furniture,"Bevis Round Conference Table Top, X-Base",Tables,-433.290143,East,1875.18,Maine,179.29,4038
West Scarborough,52,Chris Cortes,Consumer,0.01,12/19/2013,39842,Medium,22,0.59,Technology,StarTAC 7760,Telephones and Communication,224.856,East,1295.502,Maine,65.99,4070
Saco,41,Christy Brittain,Consumer,0.07,7/29/2012,32420,Medium,19,0.78,Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Chairs & Chairmats,-439.62,East,5369.46,Maine,280.98,4072
Saco,49,Craig Yedwab,Consumer,0,8/17/2013,22820,High,18,0.4,Office Supplies,"Staples Vinyl Coated Paper Clips, 800/Box",Rubber Bands,21.49,East,144.84,Maine,7.89,4072
Saco,52,Muhammed Lee,Consumer,0.03,12/20/2013,3905,Not Specified,42,0.56,Furniture,"Global Push Button Manager's Chair, Indigo",Chairs & Chairmats,-377.25,East,2537.88,Maine,60.89,4072
Sanford,42,Sylvia Foulston,Consumer,0.03,8/22/2012,41825,Critical,50,0.77,Furniture,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,-1303.6,East,7817.45,Maine,150.89,4073
Sanford,73,Muhammed Yedwab,Consumer,0.05,11/8/2015,42469,Not Specified,18,0.35,Office Supplies,GBC VeloBinder Electric Binding Machine,Binders and Binder Accessories,818.9155,East,2130.82,Maine,120.98,4073
Sanford,76,Joni Wasserman,Consumer,0.07,12/3/2015,55239,Critical,13,0.37,Office Supplies,Xerox 23,Paper,-15.27,East,95.68,Maine,6.48,4073
Westbrook,47,Chuck Sachs,Consumer,0.04,4/29/2013,21319,Medium,42,0.62,Furniture,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Office Furnishings,-174.94,East,1060.34,Maine,23.99,4092
